,UID,title,authors,abstract,keywords,day,hour,day_name
0,116,A Separation Principle for Cooperative Multi-Agent Reinforcement Learning,Lucia Pezzetti|Nicolas Lanzetti|Antonio Terpin|Florian Dorfler|Giorgia Ramponi,"We study cooperative multi-agent reinforcement learning (MARL) problems in which agents evolve under decoupled noisy dynamics but are coupled via a population objective. A canonical example is a mobility operator that orchestrates a fleet of vehicles in an urban environment to meet customer demand.
The stochastic and time-varying nature of these problems calls for learning approaches, yet existing MARL algorithms do not scale: learning assignment and routing jointly over the full state-action space becomes prohibitive as the number of agents grows.
By studying the problem as a control problem over probability measures, we prove a separation principle: the population-level cost-to-go function is upper-bounded by an optimal transport problem whose transportation cost is the target-conditioned single-agent cost-to-go function. This result simplifies the multi-agent problem to learning a single-agent policy and coordinating the agents via optimal transport.
Thus, we introduce SALT (Separation-based Assignment and Learning via optimal Transport) a family of algorithms that learn a target-conditioned single-agent policy using any standard RL algorithm, and then coordinate the agents via optimal transport. Because learning occurs at the single-agent level, SALT scales to fleet sizes where MARL baselines become intractable and transfers without retraining to fleet sizes unseen during training.
In a vehicle-delivery experiment in south Manhattan’s road network, where MARL baselines are computationally prohibitive, SALT improves travel times by up to 20% over a shortest-path routing heuristic and transfers without retraining to different fleet sizes.
In stochastic grid worlds, SALT reduces average travel times by more than 40% relative to MARL baselines and scales to population sizes where these methods fail.",multi-agent reinforcement learning|cooperation|optimal transport|stochastic control,0,15:00 - 15:15,monday
1,112,Survival Reinforcement Learning: Toward Scalable Self-Supervised RL,Franki Nguimatsia-Tiofack|Fabian Schramm|Théotime Le Hellard|Justin Carpentier,"While self-supervised Contrastive Reinforcement Learning (CRL) has shown remarkable depth-scaling capabilities, successfully using networks over 64 layers, scaled CRL still struggles with long-horizon goal-conditioned planning due to the uniformity-tolerance dilemma inherent in contrastive losses. 
We introduce Survival Reinforcement Learning (SRL), an online classification-based alternative that extends the survival value learning framework by maximizing the agent's dwell time at target goals. SRL bypasses the structural constraints of CRL and mitigates the ""bang-bang"" control solutions inherent to survival frameworks, which often induce undesirable behavior in complex dynamical systems.
Evaluated across diverse robotic benchmarks, scaled SRL matches state-of-the-art CRL on manipulation tasks and outperforms it by 2x to 8x on stable, long-horizon locomotion tasks.
Our results provide strong additional evidence that classification-based methods may serve as a key primitive in the broader effort to scale reinforcement learning.",Goal-Conditioned Reinforcement Learning|Survival Learning|Robotics,2,10:00 - 10:15,wednesday
2,20,Global Optimality for Constrained Exploration via Penalty Regularization,Florian Wolf|Ilyas Fatkhullin|Niao He,"Efficient exploration is a central problem in reinforcement learning and is often formalized as maximizing the entropy of the state-action occupancy measure. While unconstrained maximum-entropy exploration is relatively well understood, real-world exploration is often constrained by safety, resource, or imitation requirements. This constrained setting is particularly challenging because entropy maximization lacks additive structure, rendering Bellman-equation-based methods inapplicable. Moreover, scalable approaches require policy parameterization, inducing non-convexity in both the objective and the constraints. To our knowledge, the only prior model-free policy-gradient approach for this setting under general policy parameterization is due to Ying et al. (2025). Unfortunately, their guarantees are limited to weak regret and ergodic averages, which do not imply that the final output is a single deployable policy that is near-optimal and nearly feasible. In this work we take a different approach to this problem, and propose Policy Gradient Penalty (PGP) method, a single-loop policy-space method that enforces general convex occupancy-measure constraints via quadratic-penalty regularization. PGP constructs pseudo-rewards that yield gradient estimates of the penalized objective, subsequently exploiting the classical Policy Gradient Theorem. We further establish the regularity of the penalized objective, providing the smoothness properties needed to justify the convergence of PGP. Leveraging hidden convexity and strong duality, we then establish global
last-iterate convergence guarantees, attaining an $\epsilon$-optimal constrained entropy value with $\epsilon$-bounded constraint violation despite policy-induced non-convexity. We validate PGP through ablations on a grid-world benchmark and further demonstrate scalability on two challenging continuous-control tasks.",Reinforcement Learning|Constrained Exploration|Penalty Method|Optimization,1,15:15 - 15:30,tuesday
3,152,Learning Rewards in Strategic Games,Antoine Bergerault|Cyrille Kone|Giorgia Ramponi,"Inverse reinforcement learning in multi-agent systems aims to recover latent reward functions from strategic interactions. Such problems naturally arise in applications including cybersecurity, autonomous driving, and online markets, where agents strategically adapt to one another while their underlying objectives remain unknown. While recent works have characterized feasible reward sets in games, it remains unclear how to extract rewards that preserve strategic behavior at deployment. In this work, we study this problem under bounded-rationality assumptions through the lens of strategic identifiability. We first show that learning from a fixed policy pair is fundamentally insufficient to guarantee low exploitability, even with infinite data. Motivated by this impossibility result, we propose an active inverse reinforcement learning framework for repeated Stackelberg games, where a leader adaptively selects policies to maximize information about the follower’s reward. Leveraging maximum likelihood estimation and experimental design, we derive finite-sample guarantees on the Stackelberg sub-optimality of the learned reward. We further extend our analysis to two-player zero-sum games, providing guarantees on preserving approximate Nash equilibria. Finally, we validate our approach on synthetic normal-form games and a wildlife protection simulation, showing the benefits of active exploration for reward recovery in strategic environments.",inverse reinforcement learning|multi-agent|stackelberg games,2,15:00 - 15:15,wednesday
4,99,When Does Interaction Help? Representational Tradeoffs in Value-Based Imitation Learning,Luca Viano|Antoine Moulin|Audrey Huang|Volkan Cevher|Philip Amortila|Dylan J Foster,"Imitation learning (IL)—training an agent to replicate expert behavior from demonstrations—underpins applications from robotics to language model training. Standard approaches such as Behavior Cloning (BC) are known to suffer from compounding errors and performance plateaus, particularly when the learner cannot perfectly represent the expert’s policy (e.g., as is typical in distillation). Two interventions are widely understood empirically to improve performance: querying the expert interactively along the learner’s own trajectories, and using value function estimation en route to generating a policy. We investigate the nature of these improvements and their potentially surprising interplay.

Our main finding is that expert interaction relaxes the representational demands on the learner: one only needs a model capable of realizing the expert’s value function, bypassing the (often stricter) requirement of realizing the expert’s policy itself. Concretely, we introduce OVI, an interactive IL algorithm that is statistically and computationally efficient whenever the learner can represent the expert’s value function. We complement this with a negative result showing that interaction is necessary: without significantly stronger representational assumptions than expert-value realizability alone, a broad class of value-based IL algorithms cannot succeed in the offline setting. These findings bear out empirically: OVI outperforms offline policy-based (BC), interactive policy-based (DAgger), and offline value-based IL methods, with the largest gains when the learner network is substantially less expressive than the expert’s.",imitation learning|theory|value-based|interaction,2,15:15 - 15:30,wednesday
5,26,Collaborating in Multi-Armed Bandits with Strategic Agents,Idan Barnea|Ofir Schlisselberg|Yishay Mansour,"We study collaborative learning in multi-agent Bayesian bandit problems, where strategic agents collectively solve the same bandit instance. While multiple agents can accelerate learning by sharing information, 
strategic agents might prefer to free-ride and avoid exploration. 
We consider a setting with persistent agents that participate in multiple time periods.
This is in contrast to most previous works on incentives in multi-agent MAB, which assume short-lived agents, namely each agent has a single decision to make and optimizes their expected reward in that single decision. As in the multi-agent MAB model with incentives, our model does not have monetary transfers, and the only incentives are through information sharing.

We propose CAOS, a mechanism that sustains collaboration as a Nash equilibrium while achieving strong regret guarantees. 
Our results demonstrate that collaborative exploration can be sustained purely through information sharing, achieving performance close to that of fully cooperative systems despite strategic behavior.",Theory|Game theory|Bayesian MAB|Collaborative Multi-Agent,0,10:15 - 10:30,monday
6,142,Inferring Transferable Rewards via Active Inverse Reinforcement Learning,Victor Villin|Till Freihaut|Andreas Schlaginhaufen|Maryam Kamgarpour|Christos Dimitrakakis|Giorgia Ramponi,"Inverse Reinforcement Learning (IRL) aims to recover expert rewards that transfer across environments with differing dynamics. Prior work has shown that such transfer is possible when gathering expert demonstrations across sufficiently different dynamics. In practice, however, expert demonstrations are costly, making it critical to select the right dynamics to reduce the quantity of expert data required for learning transferable rewards.
We propose a two-phase approach for doing so: we cycle through the available dynamics to obtain reliable initial reward estimates, before we actively choose them by minimizing uncertainty about the expert reward. Crucially, this leads to new sample complexity guarantees in terms of transferability. Empirically, our method significantly reduces the amount of expert data needed to learn a transferable reward.",inverse reinforcement learning|active learning|environment design|transferability|identifiability|robustness|alignment,1,10:15 - 10:30,tuesday
7,122,The Surprising Effectiveness of Approximate Value Iteration in Self-Play,Raphael Boige|Amine Boumaza|Bruno Scherrer,"Combining search with function approximation has driven recent breakthroughs in game-playing programs, making self-play algorithms more competitive than ever. Still, the computational overhead of the most popular methods, based on MCTS, can be excessive. In this work, we investigate whether simpler methods remain competitive in non-trivial games of moderate-size like Connect4, Hex(7x7) and synthetic games. We evaluate a minimal self-play implementation of Approximate Value Iteration (AVI) using a ground-truth oracle for exact evaluation. Contrary to expectations, our results demonstrate the surprising effectiveness of AVI: it learns more accurate value functions and policies than AlphaZero, while being computationally lighter and practically simpler to implement. These findings suggest that the dominance of MCTS-based methods may have eclipsed simpler approaches that are competitive given modern hardware and software capabilities.",games|reinforcement learning|alphazero|planning|dynamic programming|value iteration|connect four|minimax,2,10:15 - 10:30,wednesday
8,14,Minimax PAC Bounds for Learning in Exogenous Contextual MDPs,Corentin Pla|Hugo Richard|Marc Abeille|Vianney Perchet,"We study PAC learning in tabular discounted Markov decision processes with exogenous i.i.d. contexts, with discount factor $\gamma$, finite state space $\mathcal X$, action space $\mathcal A$, and context space $\mathcal Z$. At each time step, a context is drawn independently from an unknown distribution $\mu$ and revealed before the agent acts. This context may affect both rewards and transitions, while remaining
uncontrolled by the agent. Depending on the regime, the learner has access either to a sampling oracle for $\mu$, to a sampling oracle for the transition kernel conditioned on state-context-action tuples, or to both.
Oracles can be accessed before and during policy execution. The sample complexity is measured by a couple $(n,m)$, where $n$ is the number of calls to the sampling oracles before execution and $m$ is the number of calls to the sampling oracles during
execution. When rewards and transitions are known and only the context distribution $\mu$ is sampled, we give a variance-reduced algorithm that solves policy evaluation (PE), best-value estimation (BVE), and best-policy
extraction (BPE) with $\left(\widetilde O\left(1/((1-\gamma)^3\varepsilon^2)\right), 0 \right) $
sample complexity.  The rate is independent of $|\mathcal Z|$ and minimax optimal up to
logarithmic factors. As a corollary, we also obtain tight rates in the case of one-step perfect look-ahead, improving upon the existing guarantees.
In the fully unknown regime, where both $\mu$ and $P$ must be
learned, we show that PE remains $|\mathcal Z|$-free, with matching upper and lower bounds
$\bigl(\widetilde O(|\mathcal X|/((1-\gamma)^3\varepsilon^2)),\,
\widetilde O(1/((1-\gamma)^2\varepsilon^2))\bigr)$.",Reinforcement Learning|Minimax PAC bounds,0,15:15 - 15:30,monday
9,81,Generative Modeling by Value-Driven Transport,Pablo Moreno-Muñoz|Adrian Müller|Gergely Neu,"We propose a new framework for generative modeling based on a discrete-time stochastic control formulation of measure 
transport. Adapting classic results from control theory, we formulate our problem as a linear program whose dual 
variables correspond to the *optimal value function* of the control problem, which directly encodes the optimal 
control policy. Exploiting this LP formulation, we develop an efficient simulation-free primal-dual algorithm for 
computing approximately optimal value functions and the associated *value-driven transport* (VDT) policies which 
approximate the true optimal policy. We show that well-trained VDT policies enjoy numerous favorable properties in 
comparison with other state-of-the-art methods based on flows, diffusions, or Schrödinger bridges: they lead to 
straight transport paths which can be simulated quickly and robustly, and can be enhanced in all the same ways as 
diffusion and flow-based models (e.g., conditional generation, classifier-free guidance, unpaired data-to-data 
translation are all easy to incorporate). We evaluate our methodology in a range of experiments, 
with results that indicate strong performance and good potential for scalability.",LP formulation of RL|primal-dual algorithms|generative modeling/optimal transport,1,15:00 - 15:15,tuesday
